Module	Section	Sample Name	Source
FastQC	all_sections	Undetermined_S0_R2_001	/home/jurtasun/mnt/network/public/lms_data_science/P260508_urtasun_lms_data_science/results/fastqc/Undetermined_S0_R2_001_fastqc.zip
FastQC	all_sections	Undetermined_S0_R1_001	/home/jurtasun/mnt/network/public/lms_data_science/P260508_urtasun_lms_data_science/results/fastqc/Undetermined_S0_R1_001_fastqc.zip
FastQC	all_sections	chr_control_R2_S2_R2_001	/home/jurtasun/mnt/network/public/lms_data_science/P260508_urtasun_lms_data_science/results/fastqc/chr_control_R2_S2_R2_001_fastqc.zip
FastQC	all_sections	chr_control_R2_S2_R1_001	/home/jurtasun/mnt/network/public/lms_data_science/P260508_urtasun_lms_data_science/results/fastqc/chr_control_R2_S2_R1_001_fastqc.zip
FastQC	all_sections	chr_IAA_R2_S4_R2_001	/home/jurtasun/mnt/network/public/lms_data_science/P260508_urtasun_lms_data_science/results/fastqc/chr_IAA_R2_S4_R2_001_fastqc.zip
FastQC	all_sections	chr_IAA_R2_S4_R1_001	/home/jurtasun/mnt/network/public/lms_data_science/P260508_urtasun_lms_data_science/results/fastqc/chr_IAA_R2_S4_R1_001_fastqc.zip
FastQC	all_sections	chr_IAA_R1_S3_R2_001	/home/jurtasun/mnt/network/public/lms_data_science/P260508_urtasun_lms_data_science/results/fastqc/chr_IAA_R1_S3_R2_001_fastqc.zip
FastQC	all_sections	tot_control_R1_S5_R1_001	/home/jurtasun/mnt/network/public/lms_data_science/P260508_urtasun_lms_data_science/results/fastqc/tot_control_R1_S5_R1_001_fastqc.zip
FastQC	all_sections	tot_control_R1_S5_R2_001	/home/jurtasun/mnt/network/public/lms_data_science/P260508_urtasun_lms_data_science/results/fastqc/tot_control_R1_S5_R2_001_fastqc.zip
FastQC	all_sections	chr_IAA_R1_S3_R1_001	/home/jurtasun/mnt/network/public/lms_data_science/P260508_urtasun_lms_data_science/results/fastqc/chr_IAA_R1_S3_R1_001_fastqc.zip
FastQC	all_sections	tot_control_R2_S6_R1_001	/home/jurtasun/mnt/network/public/lms_data_science/P260508_urtasun_lms_data_science/results/fastqc/tot_control_R2_S6_R1_001_fastqc.zip
FastQC	all_sections	tot_control_R2_S6_R2_001	/home/jurtasun/mnt/network/public/lms_data_science/P260508_urtasun_lms_data_science/results/fastqc/tot_control_R2_S6_R2_001_fastqc.zip
FastQC	all_sections	tot_IAA_R1_S7_R1_001	/home/jurtasun/mnt/network/public/lms_data_science/P260508_urtasun_lms_data_science/results/fastqc/tot_IAA_R1_S7_R1_001_fastqc.zip
FastQC	all_sections	tot_IAA_R1_S7_R2_001	/home/jurtasun/mnt/network/public/lms_data_science/P260508_urtasun_lms_data_science/results/fastqc/tot_IAA_R1_S7_R2_001_fastqc.zip
FastQC	all_sections	chr_control_R1_S1_R2_001	/home/jurtasun/mnt/network/public/lms_data_science/P260508_urtasun_lms_data_science/results/fastqc/chr_control_R1_S1_R2_001_fastqc.zip
FastQC	all_sections	chr_control_R1_S1_R1_001	/home/jurtasun/mnt/network/public/lms_data_science/P260508_urtasun_lms_data_science/results/fastqc/chr_control_R1_S1_R1_001_fastqc.zip
FastQC	all_sections	tot_IAA_R2_S8_R2_001	/home/jurtasun/mnt/network/public/lms_data_science/P260508_urtasun_lms_data_science/results/fastqc/tot_IAA_R2_S8_R2_001_fastqc.zip
FastQC	all_sections	tot_IAA_R2_S8_R1_001	/home/jurtasun/mnt/network/public/lms_data_science/P260508_urtasun_lms_data_science/results/fastqc/tot_IAA_R2_S8_R1_001_fastqc.zip
