Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Undetermined_S0_R1_001	69.20792999085644	62.0	60.0	60	18.181818181818183	17685390.0
Undetermined_S0_R2_001	53.974753847886284	58.0	60.0	60	18.181818181818183	17685390.0
chr_IAA_R1_S3_R1_001	84.36988183511217	61.0	60.0	60	18.181818181818183	58929832.0
chr_IAA_R1_S3_R2_001	74.67507693783779	57.0	60.0	60	18.181818181818183	58929832.0
chr_IAA_R2_S4_R1_001	84.4149135247914	61.0	60.0	60	18.181818181818183	57055470.0
chr_IAA_R2_S4_R2_001	75.42303144865889	57.0	60.0	60	18.181818181818183	57055470.0
chr_control_R1_S1_R1_001	84.90162670334232	60.0	60.0	60	27.27272727272727	67370266.0
chr_control_R1_S1_R2_001	75.74155137053182	57.0	60.0	60	18.181818181818183	67370266.0
chr_control_R2_S2_R1_001	82.44904298554395	60.0	60.0	60	18.181818181818183	47966871.0
chr_control_R2_S2_R2_001	72.45712235823403	57.0	60.0	60	18.181818181818183	47966871.0
tot_IAA_R1_S7_R1_001	92.48523580795423	60.0	60.0	60	27.27272727272727	64519833.0
tot_IAA_R1_S7_R2_001	84.37023597247325	54.0	60.0	60	18.181818181818183	64519833.0
tot_IAA_R2_S8_R1_001	92.15200424056005	60.0	60.0	60	27.27272727272727	69226400.0
tot_IAA_R2_S8_R2_001	84.13129806656764	54.0	60.0	60	18.181818181818183	69226400.0
tot_control_R1_S5_R1_001	92.22617861981799	60.0	60.0	60	27.27272727272727	62186432.0
tot_control_R1_S5_R2_001	83.20091345933986	54.0	60.0	60	18.181818181818183	62186432.0
tot_control_R2_S6_R1_001	92.12971928420978	60.0	60.0	60	27.27272727272727	63131012.0
tot_control_R2_S6_R2_001	84.259025966801	54.0	60.0	60	18.181818181818183	63131012.0
